,,,,,Regular Season,,,,,,,,,Playoffs,,,,,,,,Postseason Result,,,,,,501 Stats - as recorded by DartConnect,,,,,,,,,,Cricket Stats,,,,,,,
Player,Season,Division,Place,,C-W,C-L,5-W,5-L,BP,MW,ML,MD,,C-W,C-L,5-W,5-L,MW,ML,MD,,Playoff Bracket,Playoff Finish,P/R,Result,Color,,180s,High Out,Doubles,Chances,Points,Darts,CO%,3DA,,,9M,Marks,Darts,T/B,Hits,MPR,T/B%,Hit%
Darty South,Spring 2020,D,4,,10,8,21,15,8,5,3,1,,2,4,6,8,1,2,,,C/D Playoffs,SF,,,PP,,1,80,27,252,23932,1860,10.71%,38.60,,,0,663,1194,87,537,1.67,7.29%,44.97%
Beef Easy,Spring 2020,D,5,,10,8,19,17,6,2,2,5,,1,3,2,5,,2,,,C/D Playoffs,SF,,,PP,,0,76,21,216,19862,1528,9.72%,39.00,,,0,470,980,76,383,1.44,7.76%,39.08%
Music City Madman,Spring 2020,D,6,,12,6,15,21,4,4,4,1,,2,2,,6,,2,,,C/D Playoffs,2R,,,PP,,0,54,15,256,19987,1778,5.86%,33.72,,,0,613,1113,94,516,1.65,8.45%,46.36%
The Law,Spring 2020,D,7,,8,10,13,23,1,2,4,3,,,,,,,,,,,,,,,,0,43,13,190,17152,1508,6.84%,34.12,,,0,487,1077,78,394,1.36,7.24%,36.58%
Dr. Feelgood,Spring 2020,D,8,,4,14,13,23,1,1,6,2,,,,,,,,,,,,,,,,0,52,13,191,16962,1487,6.81%,34.22,,,0,384,925,58,332,1.25,6.27%,35.89%
Mr. Packman,Spring 2020,D,9,,4,14,11,25,2,2,7,0,,,,,,,,,,,,,,,,0,64,11,208,16969,1553,5.29%,32.78,,,0,403,986,59,334,1.23,5.98%,33.87%
Liberty Fires,Spring 2020,D,10,,0,18,11,25,2,0,7,2,,,,,,,,,,,,,,,,0,41,11,151,16624,1386,7.28%,35.98,,,0,375,981,44,320,1.15,4.49%,32.62%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King Rodge,Spring 2020,Rookie,,,,,,,,,,,,5,1,11,4,3,,,,A/B Playoffs,W,,Placed in A,,,,,,,,,,,,,,,,,,,,
Repat,Spring 2020,Rookie,,,,,,,,,,,,4,2,12,4,3,,,,B/C Playoffs,W,,Placed in B,,,,,,,,,,,,,,,,,,,,
The Kylf,Spring 2020,Rookie,,,,,,,,,,,,3,3,10,2,3,,,,C/D Playoffs,W,,Placed in C,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King Rodge,Summer 2020,A,1,,15,7,60,17,17,11,0,0,,2,2,11,3,2,,,,Championship,W,,,CP,,2,121,71,231,44299,2057,30.74%,64.61,,,0,795,870,166,631,2.74,19.08%,72.53%
The Nooch,Summer 2020,A,2,,19,3,48,29,13,9,2,0,,,2,3,4,,1,,,Championship,SF,,,CP,,1,134,51,216,40085,2005,23.61%,59.98,,,1,685,734,145,498,2.80,19.75%,67.85%
The Surgeon,Summer 2020,A,3,,16,6,52,25,4,9,2,0,,5,1,10,12,2,1,,,Championship,F,,,CP,,1,112,61,278,46802,2387,21.94%,58.82,,,0,852,939,179,623,2.72,19.06%,66.35%
The Train,Summer 2020,A,4,,11,11,47,30,9,7,4,0,,1,3,5,7,1,1,,,Championship,SF,,,CP,,5,107,52,235,41924,2242,22.13%,56.10,,,1,858,1029,147,661,2.50,14.29%,64.24%
Dilly Dilly,Summer 2020,A,5,,12,10,40,37,6,5,6,0,,1,1,3,4,,1,,,Championship,QF,,,CP,,1,150,43,246,40244,2235,17.48%,54.02,,,0,782,969,152,601,2.42,15.69%,62.02%
Shenandoah Slinger,Summer 2020,A,6,,9,13,40,37,9,4,7,0,,1,1,2,4,,1,,,Championship,QF,,,CP,,4,120,42,228,38955,2119,18.42%,55.15,,,1,797,1005,151,624,2.38,15.02%,62.09%
Degrubs,Summer 2020,A,7,,9,13,41,36,4,5,6,0,,,,,,,,,,,,,,,,0,112,41,207,36141,1965,19.81%,55.18,,,1,677,845,127,516,2.40,15.03%,61.07%
The Author,Summer 2020,A,8,,8,14,33,44,4,6,5,0,,,,,,,,,,,,,,,,4,116,33,179,34278,1923,18.44%,53.48,,,0,683,922,115,522,2.22,12.47%,56.62%
Lazer Cat,Summer 2020,A,9,,12,10,27,50,5,4,7,0,,,,,,,,,,,,,,,,0,85,27,218,35257,2099,12.39%,50.39,,,1,736,930,136,555,2.37,14.62%,59.68%
DJ My Q's,Summer 2020,A,10,,8,14,26,51,2,3,8,0,,1,1,1,5,,1,,,A/B Playoffs,F,R,Relegated to B,RP,,1,96,26,202,34234,2068,12.87%,49.66,,,1,688,928,119,539,2.22,12.82%,58.08%
Pepe Le,Summer 2020,A,11,,8,14,24,53,2,2,9,0,,,,,,,,,,,,R,Relegated to B,R,,0,84,24,183,33927,2114,13.11%,48.15,,,0,580,829,102,462,2.10,12.30%,55.73%
The Criminal,Summer 2020,A,12,,5,17,24,53,2,1,10,0,,,,,,,,,,,,R,Relegated to B,R,,1,76,24,207,34946,2095,11.59%,50.04,,,0,707,913,134,552,2.32,14.68%,60.46%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Left Hand Hooligan,Summer 2020,B,1,,20,2,53,13,18,11,0,0,,,,,,,,,,,,P,Promoted to A,P,,5,112,53,184,32486,1564,28.80%,62.31,,,1,686,746,147,516,2.76,19.71%,69.17%
