,,,,,Regular Season,,,,,,,,,Playoffs,,,,,,,,Postseason Result,,,,,,501 Stats - as recorded by DartConnect,,,,,,,,,,Cricket Stats,,,,,,,
Player,Season,Division,Place,,C-W,C-L,5-W,5-L,BP,MW,ML,MD,,C-W,C-L,5-W,5-L,MW,ML,MD,,Playoff Bracket,Playoff Finish,P/R,Result,Color,,180s,High Out,Doubles,Chances,Points,Darts,CO%,3DA,,,9M,Marks,Darts,T/B,Hits,MPR,T/B%,Hit%
Toaster,Fall 2020,B,5,,9,13,37,29,8,5,4,2,,,,,,,,,,A/B Playoffs,,,,PP,,1,102,37,220,31366,1907,16.82%,49.34,,,1,616,890,100,499,2.08,11.24%,56.07%
Radar,Fall 2020,B,6,,12,10,30,36,9,2,4,5,,,,,,,,,,,,,,,,0,87,30,188,30636,1841,15.96%,49.92,,,0,708,1012,144,543,2.10,14.23%,53.66%
Repat,Fall 2020,B,7,,13,9,28,38,11,3,5,3,,,,,,,,,,,,,,,,1,113,28,209,30881,1891,13.40%,48.99,,,0,675,897,136,503,2.26,15.16%,56.08%
DJ My Q's,Fall 2020,B,8,,9,13,31,35,7,4,6,1,,,,,,,,,,B/C Playoffs,,,,RP,,0,104,31,208,30200,1969,14.90%,46.01,,,0,601,912,95,477,1.98,10.42%,52.30%
The Criminal,Fall 2020,B,9,,9,13,27,39,11,3,7,1,,,,,,,,,,B/C Playoffs,,,,RP,,0,116,27,211,30973,1907,12.80%,48.73,,,1,819,1051,173,592,2.34,16.46%,56.33%
The Lush,Fall 2020,B,10,,8,14,28,38,8,3,6,2,,,,,,,,,,B/C Playoffs,,,,RP,,1,109,28,206,31271,1899,13.59%,49.40,,,0,658,962,109,525,2.05,11.33%,54.57%
MADhouse,Fall 2020,B,11,,10,12,26,40,6,3,6,2,,,,,,,,,,,,R,Relegated to C,R,,0,70,26,192,30495,1932,13.54%,47.35,,,0,578,816,112,446,2.13,13.73%,54.66%
Pepe Le,Fall 2020,B,12,,6,16,28,38,7,3,5,3,,,,,,,,,,,,R,Relegated to C,R,,0,93,28,182,29674,1935,15.38%,46.01,,,0,660,1013,101,523,1.95,9.97%,51.63%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine Stranger,Fall 2020,C,1,,18,4,40,15,13,11,0,0,,,,,,,,,,,,P,Promoted to B,P,,0,100,40,187,26959,1564,21.39%,51.71,,,0,622,819,109,488,2.28,13.31%,59.58%
The Accountant,Fall 2020,C,2,,16,6,35,20,9,9,2,0,,,,,,,,,,B/C Playoffs,,,,PP,,0,129,35,196,25970,1707,17.86%,45.64,,,1,717,1048,124,578,2.05,11.83%,55.15%
Doughboy,Fall 2020,C,3,,13,9,36,19,9,8,3,0,,,,,,,,,,B/C Playoffs,,,,PP,,0,105,28,139,21340,1259,20.14%,50.85,,,0,530,735,91,409,2.16,12.38%,55.65%
The Kylf,Fall 2020,C,4,,13,9,30,25,8,7,4,0,,,,,,,,,,,,,,,,2,76,30,206,25810,1730,14.56%,44.76,,,0,630,944,113,511,2.00,11.97%,54.13%
Alky,Fall 2020,C,5,,13,9,28,27,7,5,6,0,,,,,,,,,,C/D Playoffs,,,,RP,,2,102,28,202,26558,1660,13.86%,48.00,,,0,652,946,121,515,2.07,12.79%,54.44%
Unholy Cannoli,Fall 2020,C,6,,12,10,24,31,4,4,7,0,,,,,,,,,,C/D Playoffs,,,,RP,,0,128,24,201,23661,1677,11.94%,42.33,,,0,516,834,98,316,1.86,11.75%,37.89%
Triple T,Fall 2020,C,7,,7,15,26,29,10,3,8,0,,,,,,,,,,C/D Playoffs,,,,RP,,0,59,25,213,26393,1752,11.74%,45.19,,,0,602,973,108,470,1.86,11.10%,48.30%
Slappy Pappy,Fall 2020,C,8,,10,12,24,31,3,5,6,0,,,,,,,,,,C/D Playoffs,,,,RP,,0,80,25,203,26957,1884,12.32%,42.93,,,0,598,959,96,486,1.87,10.01%,50.68%
Outlander,Fall 2020,C,9,,10,12,23,32,5,5,6,0,,,,,,,,,,C/D Playoffs,,,,RP,,0,110,26,232,27051,1893,11.21%,42.87,,,1,676,1087,120,535,1.87,11.04%,49.22%
Beef Easy,Fall 2020,C,10,,6,16,24,31,4,2,9,0,,,,,,,,,,,,R,Relegated to D,R,,0,113,24,180,25729,1782,13.33%,43.31,,,0,474,896,73,366,1.59,8.15%,40.85%
Scooter McGooch,Fall 2020,C,11,,7,15,20,35,4,4,7,0,,,,,,,,,,,,R,Relegated to D,R,,0,76,20,205,25783,1753,9.76%,44.12,,,0,591,983,78,497,1.80,7.93%,50.56%
Uncle Corky,Fall 2020,C,12,,7,15,20,35,2,3,8,0,,,,,,,,,,,,R,Relegated to D,R,,0,40,18,184,23144,1646,9.78%,42.18,,,0,506,833,101,413,1.82,12.12%,49.58%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Fireman,Fall 2020,D,1,,19,3,34,10,15,10,0,1,,,,,,,,,,,,P,Promoted to C,P,,0,92,34,231,21616,1596,14.72%,40.63,,,0,708,1079,124,557,1.97,11.49%,51.62%
Music City Madman,Fall 2020,D,2,,17,5,27,17,6,7,2,2,,,,,,,,,,C/D Playoffs,,,,PP,,0,54,26,204,20539,1524,12.75%,40.43,,,0,672,1118,107,566,1.80,9.57%,50.63%
Magic Wizard,Fall 2020,D,3,,16,6,26,18,10,6,1,4,,,,,,,,,,D/E Playoffs,,,,RP,,1,59,26,178,21183,1498,14.61%,42.42,,,0,587,957,111,465,1.84,11.60%,48.59%
Darty South,Fall 2020,D,4,,12,10,29,15,7,7,4,0,,,,,,,,,,D/E Playoffs,,,,RP,,0,85,28,185,20319,1562,15.14%,39.02,,,0,526,870,95,413,1.81,10.92%,47.47%
Adanac,Fall 2020,D,5,,14,8,27,17,6,6,2,3,,,,,,,,,,D/E Playoffs,,,,RP,,0,54,27,208,21097,1599,12.98%,39.58,,,0,661,1203,122,511,1.65,10.14%,42.48%
The Cleaner,Fall 2020,D,6,,15,7,23,21,10,6,3,2,,,,,,,,,,D/E Playoffs,,,,RP,,1,74,23,174,21295,1446,13.22%,44.18,,,0,558,1010,102,448,1.66,10.10%,44.36%
Mac Attack,Fall 2020,D,7,,9,13,26,18,6,5,4,2,,,,,,,,,,,,R,Relegated to E,R,,0,69,25,208,19495,1559,12.02%,37.51,,,0,524,1035,86,429,1.52,8.31%,41.45%
Blademau5,Fall 2020,D,8,,10,12,24,20,3,5,4,2,,,,,,,,,,,,R,Relegated to E,R,,0,54,24,206,21102,1689,11.65%,37.48,,,0,589,1160,79,502,1.52,6.81%,43.28%
Liberty Fires,Fall 2020,D,9,,4,18,16,28,6,1,8,2,,,,,,,,,,,,R,Relegated to E,R,,0,60,16,184,19875,1732,8.70%,34.43,,,0,611,1355,90,487,1.35,6.64%,35.94%
The Law,Fall 2020,D,10,,7,15,13,31,2,1,8,2,,,,,,,,,,,,R,Relegated to E,R,,0,40,13,248,21019,1819,5.24%,34.67,,,0,542,1265,64,468,1.29,5.06%,37.00%
Gazpacho,Fall 2020,D,11,,5,17,13,31,0,1,8,2,,,,,,,,,,,,R,Relegated to E,R,,0,20,13,196,20217,1704,6.63%,35.59,,,0,532,1281,82,431,1.25,6.40%,33.65%
Dr. Feelgood,Fall 2020,D,12,,4,18,6,38,0,0,11,0,,,,,,,,,,,,R,Relegated to E,R,,0,52,6,158,19030,1650,3.80%,34.60,,,0,512,1304,91,420,1.18,6.98%,32.21%
